Date,AMZN,BTC-USD,F
2023-07-04 00:00:00+00:00,,30777.58203125,
2023-07-05 00:00:00+00:00,130.3800048828125,30514.166015625,13.33675765991211
2023-07-06 00:00:00+00:00,128.36000061035156,29909.337890625,13.01528549194336
2023-07-07 00:00:00+00:00,129.77999877929688,30342.265625,13.01528549194336
2023-07-08 00:00:00+00:00,,30292.541015625,
2023-07-09 00:00:00+00:00,,30171.234375,
2023-07-10 00:00:00+00:00,127.12999725341797,30414.470703125,13.09348201751709
2023-07-11 00:00:00+00:00,128.77999877929688,30620.951171875,13.23249626159668
2023-07-12 00:00:00+00:00,130.8000030517578,30391.646484375,13.223809242248535
2023-07-13 00:00:00+00:00,134.3000030517578,31476.048828125,13.19774341583252
2023-07-14 00:00:00+00:00,134.67999267578125,30334.068359375,13.01528549194336
2023-07-15 00:00:00+00:00,,30295.806640625,
2023-07-16 00:00:00+00:00,,30249.1328125,
2023-07-17 00:00:00+00:00,133.55999755859375,30145.888671875,12.242015838623047
2023-07-18 00:00:00+00:00,132.8300018310547,29856.5625,12.3115234375
2023-07-19 00:00:00+00:00,135.36000061035156,29913.923828125,12.250702857971191
2023-07-20 00:00:00+00:00,129.9600067138672,29792.015625,12.189884185791016
2023-07-21 00:00:00+00:00,130.0,29908.744140625,12.10300064086914
2023-07-22 00:00:00+00:00,,29771.802734375,
2023-07-23 00:00:00+00:00,,30084.5390625,
2023-07-24 00:00:00+00:00,128.8000030517578,29176.916015625,12.261093139648438
2023-07-25 00:00:00+00:00,129.1300048828125,29227.390625,11.927338600158691
2023-07-26 00:00:00+00:00,128.14999389648438,29354.97265625,12.006385803222656
2023-07-27 00:00:00+00:00,128.25,29210.689453125,12.059083938598633
2023-07-28 00:00:00+00:00,132.2100067138672,29319.24609375,11.646282196044922
2023-07-29 00:00:00+00:00,,29356.91796875,
2023-07-30 00:00:00+00:00,,29275.30859375,
2023-07-31 00:00:00+00:00,133.67999267578125,29230.111328125,11.602367401123047
2023-08-01 00:00:00+00:00,131.69000244140625,29675.732421875,11.786810874938965
2023-08-02 00:00:00+00:00,128.2100067138672,29151.958984375,11.453057289123535
2023-08-03 00:00:00+00:00,128.91000366210938,29178.6796875,11.505754470825195
2023-08-04 00:00:00+00:00,139.57000732421875,29074.091796875,11.321310997009277
2023-08-05 00:00:00+00:00,,29042.126953125,
2023-08-06 00:00:00+00:00,,29041.85546875,
2023-08-07 00:00:00+00:00,142.22000122070312,29180.578125,11.365224838256836
2023-08-08 00:00:00+00:00,139.94000244140625,29765.4921875,11.312528610229492
2023-08-09 00:00:00+00:00,137.85000610351562,29561.494140625,11.180781364440918
2023-08-10 00:00:00+00:00,138.55999755859375,29429.591796875,10.680150032043457
2023-08-11 00:00:00+00:00,138.41000366210938,29397.71484375,10.662585258483887
2023-08-12 00:00:00+00:00,,29415.96484375,
2023-08-13 00:00:00+00:00,,29282.9140625,
2023-08-14 00:00:00+00:00,140.57000732421875,29408.443359375,10.715282440185547
2023-08-15 00:00:00+00:00,137.6699981689453,29170.34765625,10.522056579589844
2023-08-16 00:00:00+00:00,135.07000732421875,28701.779296875,10.372745513916016
