Date,BTC-USD,^GSPC,^IXIC
2023-05-01,28091.568359375,4167.8701171875,12212.599609375
2023-05-02,28680.537109375,4119.580078125,12080.509765625
2023-05-03,29006.30859375,4090.75,12025.330078125
2023-05-04,28847.7109375,4061.219970703125,11966.400390625
2023-05-05,29534.384765625,4136.25,12235.41015625
2023-05-06,28904.623046875,,
2023-05-07,28454.978515625,,
2023-05-08,27694.2734375,4138.1201171875,12256.919921875
2023-05-09,27658.775390625,4119.169921875,12179.5498046875
2023-05-10,27621.755859375,4137.64013671875,12306.4404296875
2023-05-11,27000.7890625,4130.6201171875,12328.509765625
2023-05-12,26804.990234375,4124.080078125,12284.740234375
2023-05-13,26784.078125,,
2023-05-14,26930.638671875,,
2023-05-15,27192.693359375,4136.27978515625,12365.2099609375
2023-05-16,27036.650390625,4109.89990234375,12343.0498046875
2023-05-17,27398.802734375,4158.77001953125,12500.5703125
2023-05-18,26832.208984375,4198.0498046875,12688.83984375
2023-05-19,26890.12890625,4191.97998046875,12657.900390625
2023-05-20,27129.5859375,,
2023-05-21,26753.826171875,,
2023-05-22,26851.27734375,4192.6298828125,12720.7802734375
2023-05-23,27225.7265625,4145.580078125,12560.25
2023-05-24,26334.818359375,4115.240234375,12484.16015625
2023-05-25,26476.20703125,4151.27978515625,12698.08984375
2023-05-26,26719.291015625,4205.4501953125,12975.6904296875
2023-05-27,26868.353515625,,
2023-05-28,28085.646484375,,
2023-05-29,27745.884765625,,
2023-05-30,27702.349609375,4205.52001953125,13017.4296875
2023-05-31,27219.658203125,4179.830078125,12935.2900390625
2023-06-01,26819.97265625,4221.02001953125,13100.98046875
2023-06-02,27249.58984375,4282.3701171875,13240.76953125
2023-06-03,27075.12890625,,
2023-06-04,27119.06640625,,
2023-06-05,25760.09765625,4273.7900390625,13229.4296875
2023-06-06,27238.783203125,4283.85009765625,13276.419921875
2023-06-07,26345.998046875,4267.52001953125,13104.900390625
2023-06-08,26508.216796875,4293.93017578125,13238.51953125
2023-06-09,26480.375,4298.85986328125,13259.1396484375
2023-06-10,25851.240234375,,
2023-06-11,25940.16796875,,
2023-06-12,25902.5,4338.93017578125,13461.919921875
2023-06-13,25918.728515625,4369.009765625,13573.3203125
2023-06-14,25124.67578125,4372.58984375,13626.48046875
2023-06-15,25576.39453125,4425.83984375,13782.8203125
2023-06-16,26327.462890625,4409.58984375,13689.5703125
2023-06-17,26510.67578125,,
2023-06-18,26336.212890625,,
2023-06-19,26851.029296875,,
2023-06-20,28327.48828125,4388.7099609375,13667.2900390625
2023-06-21,30027.296875,4365.68994140625,13502.2001953125
2023-06-22,29912.28125,4381.89013671875,13630.6103515625
2023-06-23,30695.46875,4348.330078125,13492.51953125
2023-06-24,30548.6953125,,
2023-06-25,30480.26171875,,
2023-06-26,30271.130859375,4328.81982421875,13335.7802734375
2023-06-27,30688.1640625,4378.41015625,13555.669921875
2023-06-28,30086.24609375,4376.85986328125,13591.75
2023-06-29,30445.3515625,4396.43994140625,13591.330078125
2023-06-30,30477.251953125,4450.3798828125,13787.919921875
2023-07-01,30590.078125,,
2023-07-02,30620.76953125,,
2023-07-03,31156.439453125,4455.58984375,13816.76953125
2023-07-04,30777.58203125,,
2023-07-05,30514.166015625,4446.81982421875,13791.650390625
2023-07-06,29909.337890625,4411.58984375,13679.0400390625
2023-07-07,30342.265625,4398.9501953125,13660.7197265625
2023-07-08,30292.541015625,,
2023-07-09,30171.234375,,
2023-07-10,30414.470703125,4409.52978515625,13685.48046875
2023-07-11,30620.951171875,4439.259765625,13760.7001953125
2023-07-12,30391.646484375,4472.16015625,13918.9599609375
2023-07-13,31476.048828125,4510.0400390625,14138.5703125
2023-07-14,30334.068359375,4505.419921875,14113.7001953125
2023-07-15,30295.806640625,,
